,1985,1995,2005,2015,2018
301,137.0,162.0,76.0,4.0,38.0
907,,195.0,311.0,100.0,25.0
916,,,59.0,91.0,138.0
1267,,,,,
908,,83.0,32.0,0.0,112.0
1189,,,,,
1062,72.0,,111.0,56.0,114.0
1070,,,,41.0,71.0
302,103.0,115.0,46.0,66.0,58.0
1000,,,55.0,35.0,61.0
303,78.0,63.0,159.0,43.0,15.0
1030,,,111.0,84.0,96.0
304,147.0,134.0,52.0,58.0,69.0
306,100.0,123.0,62.0,97.0,79.0
307,102.0,124.0,56.0,108.0,135.0
308,183.0,79.0,148.0,37.0,40.0
1140,,,,,
309,86.0,79.0,80.0,94.0,118.0
310,199.0,125.0,140.0,26.0,17.0
311,116.0,114.0,52.0,60.0,109.0
312,106.0,108.0,54.0,79.0,89.0
1212,,,,,
313,111.0,112.0,64.0,106.0,158.0
314,101.0,126.0,82.0,106.0,116.0
315,115.0,162.0,56.0,116.0,162.0
316,132.0,123.0,111.0,95.0,39.0
317,,96.0,120.0,59.0,55.0
318,102.0,97.0,87.0,98.0,133.0
319,87.0,135.0,56.0,63.0,84.0
320,94.0,127.0,75.0,77.0,73.0
321,103.0,101.0,87.0,82.0,59.0
1166,,,,,
322,74.0,97.0,98.0,114.0,84.0
323,111.0,117.0,58.0,44.0,100.0
1061,,,84.0,100.0,102.0
992,,,,,
324,100.0,118.0,60.0,52.0,54.0
325,64.0,125.0,70.0,168.0,175.0
326,98.0,117.0,69.0,108.0,205.0
327,129.0,127.0,172.0,71.0,59.0
1041,,,92.0,93.0,60.0
328,80.0,114.0,77.0,89.0,111.0
329,147.0,65.0,83.0,80.0,70.0
330,89.0,98.0,121.0,84.0,51.0
902,,92.0,121.0,4.0,0.0
990,,,38.0,49.0,137.0
331,118.0,63.0,62.0,52.0,72.0
1143,,,,,
332,102.0,101.0,125.0,49.0,41.0
333,147.0,111.0,111.0,31.0,26.0
334,97.0,137.0,250.0,55.0,50.0
335,105.0,85.0,88.0,109.0,79.0
1182,93.0,105.0,159.0,63.0,154.0
1214,,,,,
336,86,80,76,38,46
337,129.0,152.0,161.0,50.0,45.0
338,104.0,115.0,57.0,71.0,89.0
339,109.0,111.0,163.0,54.0,43.0
931,,,84.0,111.0,97.0
340,87.0,130.0,129.0,44.0,55.0
341,123.0,135.0,72.0,33.0,35.0
342,94.0,125.0,133.0,84.0,100.0
343,196.0,103.0,39.0,0.0,61.0
344,133.0,100.0,33.0,7.0,53.0
1155,,,,,
345,,113.0,137.0,70.0,77.0
346,,65.0,43.0,94.0,140.0
347,95.0,151.0,94.0,80.0,121.0
348,103.0,91.0,153.0,121.0,77.0
1185,,,,,
1161,,,,,
349,88.0,95.0,56.0,120.0,165.0
1119,,,,,
1162,,,,,
1144,,,,,
350,99.0,123.0,67.0,98.0,167.0
351,197.0,94.0,24.0,0.0,105.0
352,110.0,131.0,8.0,13.0,74.0
353,99.0,98.0,89.0,118.0,147.0
354,,66.0,59.0,81.0,109.0
355,101.0,116.0,55.0,110.0,137.0
356,100.0,152.0,150.0,37.0,36.0
357,125.0,90.0,47.0,50.0,58.0
1278,,,,,
978,102.0,97.0,66.0,57.0,58.0
358,92.0,99.0,88.0,101.0,129.0
359,123.0,86.0,90.0,90.0,62.0
360,102.0,110.0,57.0,94.0,144.0
361,109.0,106.0,41.0,46.0,54.0
362,172.0,77.0,44.0,9.0,71.0
363,123.0,80.0,74.0,118.0,197.0
364,,,,,
1156,,,,,
365,,101.0,87.0,142.0,179.0
1154,,,,,
366,,111.0,157.0,68.0,67.0
1111,,,,,
367,98.0,73.0,94.0,105.0,131.0
368,98.0,106.0,191.0,61.0,56.0
1080,,,,,
369,107.0,121.0,92.0,143.0,87.0
370,,100.0,53.0,89.0,107.0
371,114.0,115.0,112.0,86.0,51.0
1192,,,,,
1153,,,,,
1107,,,,,
938,,,97.0,126.0,102.0
373,156.0,98.0,78.0,6.0,54.0
913,,,89.0,109.0,118.0
374,112.0,99.0,122.0,82.0,84.0
375,119.0,106.0,11.0,21.0,100.0
376,100.0,120.0,65.0,53.0,115.0
377,106.0,96.0,70.0,112.0,89.0
1051,,,100.0,35.0,30.0
942,,,8.0,0.0,90.0
981,,,33.0,75.0,158.0
378,114.0,96.0,82.0,82.0,62.0
379,,,,,
1135,,,,,
380,120.0,133.0,139.0,89.0,65.0
1109,,,,,
381,99.0,99.0,50.0,110.0,146.0
382,,114.0,80.0,32.0,43.0
383,,153.0,279.0,79.0,38.0
384,88.0,121.0,71.0,91.0,141.0
385,88.0,129.0,75.0,84.0,121.0
1067,,,156.0,51.0,48.0
386,117.0,78.0,169.0,42.0,38.0
387,,102.0,183.0,41.0,48.0
1039,,,105.0,60.0,33.0
388,141.0,76.0,50.0,24.0,76.0
389,113.0,96.0,79.0,73.0,62.0
1130,,,,,
390,87.0,165.0,256.0,74.0,54.0
1152,,,,,
1085,,,,,
391,120.0,156.0,96.0,25.0,60.0
1139,,,,,
392,103.0,103.0,124.0,66.0,61.0
393,116.0,112.0,118.0,68.0,56.0
394,106.0,83.0,136.0,91.0,39.0
1101,,,,,
395,105.0,77.0,69.0,0.0,22.0
396,98.0,127.0,260.0,56.0,44.0
1093,,,,56.0,110.0
895,,127.0,72.0,73.0,75.0
1046,,,80.0,69.0,107.0
398,162.0,81.0,26.0,0.0,64.0
983,,,196.0,78.0,46.0
